Title,Category,Description,Difficulty,Duration,Rating,Tags
Python Course 1,Python,Comprehensive python course covering practical concepts and projects.,Advanced,30 Hours,4.3,"python, programming, basics, oop"
Python Course 2,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,5 Hours,4.9,"python, programming, basics, oop"
Python Course 3,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,15 Hours,4.8,"python, programming, basics, oop"
Python Course 4,Python,Comprehensive python course covering practical concepts and projects.,Advanced,12 Hours,4.7,"python, programming, basics, oop"
Python Course 5,Python,Comprehensive python course covering practical concepts and projects.,Beginner,40 Hours,4.8,"python, programming, basics, oop"
Python Course 6,Python,Comprehensive python course covering practical concepts and projects.,Advanced,20 Hours,4.6,"python, programming, basics, oop"
Python Course 7,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,20 Hours,4.6,"python, programming, basics, oop"
Python Course 8,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,20 Hours,4.7,"python, programming, basics, oop"
Python Course 9,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,25 Hours,4.3,"python, programming, basics, oop"
Python Course 10,Python,Comprehensive python course covering practical concepts and projects.,Beginner,10 Hours,4.5,"python, programming, basics, oop"
Java Course 1,Java,Comprehensive java course covering practical concepts and projects.,Beginner,12 Hours,4.8,"java, spring, oop, backend"
Java Course 2,Java,Comprehensive java course covering practical concepts and projects.,Advanced,30 Hours,4.3,"java, spring, oop, backend"
Java Course 3,Java,Comprehensive java course covering practical concepts and projects.,Advanced,20 Hours,4.9,"java, spring, oop, backend"
Java Course 4,Java,Comprehensive java course covering practical concepts and projects.,Intermediate,5 Hours,4.6,"java, spring, oop, backend"
Java Course 5,Java,Comprehensive java course covering practical concepts and projects.,Advanced,10 Hours,5.0,"java, spring, oop, backend"
Java Course 6,Java,Comprehensive java course covering practical concepts and projects.,Advanced,12 Hours,4.8,"java, spring, oop, backend"
Java Course 7,Java,Comprehensive java course covering practical concepts and projects.,Advanced,40 Hours,4.5,"java, spring, oop, backend"
Java Course 8,Java,Comprehensive java course covering practical concepts and projects.,Intermediate,25 Hours,4.5,"java, spring, oop, backend"
Java Course 9,Java,Comprehensive java course covering practical concepts and projects.,Advanced,20 Hours,4.6,"java, spring, oop, backend"
Java Course 10,Java,Comprehensive java course covering practical concepts and projects.,Intermediate,20 Hours,4.5,"java, spring, oop, backend"
C++ Course 1,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,30 Hours,4.6,"c++, stl, algorithms, programming"
C++ Course 2,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,30 Hours,4.8,"c++, stl, algorithms, programming"
C++ Course 3,C++,Comprehensive c++ course covering practical concepts and projects.,Beginner,5 Hours,5.0,"c++, stl, algorithms, programming"
C++ Course 4,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,5 Hours,4.9,"c++, stl, algorithms, programming"
C++ Course 5,C++,Comprehensive c++ course covering practical concepts and projects.,Beginner,12 Hours,4.6,"c++, stl, algorithms, programming"
C++ Course 6,C++,Comprehensive c++ course covering practical concepts and projects.,Advanced,20 Hours,4.8,"c++, stl, algorithms, programming"
C++ Course 7,C++,Comprehensive c++ course covering practical concepts and projects.,Beginner,20 Hours,4.3,"c++, stl, algorithms, programming"
C++ Course 8,C++,Comprehensive c++ course covering practical concepts and projects.,Advanced,5 Hours,4.9,"c++, stl, algorithms, programming"
C++ Course 9,C++,Comprehensive c++ course covering practical concepts and projects.,Advanced,20 Hours,4.8,"c++, stl, algorithms, programming"
C++ Course 10,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,25 Hours,4.5,"c++, stl, algorithms, programming"
Machine Learning Course 1,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Advanced,30 Hours,4.9,"ml, sklearn, classification, regression"
Machine Learning Course 2,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Beginner,20 Hours,4.9,"ml, sklearn, classification, regression"
